exp_rep,date,day,acc_temp,rep,tube,ctmax,size
1,2025-07-15,0,16,B,1,34.1,
1,2025-07-15,0,NA,NA,2,NA,
1,2025-07-15,0,22,A,3,34.8,
1,2025-07-15,0,16,A,4,34.6,
1,2025-07-15,0,22,B,5,34.1,
1,2025-07-15,0,10,A,6,33.9,
1,2025-07-15,0,10,B,7,34,
1,2025-07-15,0,10,A,8,34,
1,2025-07-15,0,16,B,9,33.8,
1,2025-07-15,0,22,A,10,34.3,
1,2025-07-16,1,22,A,1,34.9,
1,2025-07-16,1,16,A,2,34.9,
1,2025-07-16,1,16,A,3,34.3,
1,2025-07-16,1,22,B,4,34.8,
1,2025-07-16,1,10,B,5,34.3,
1,2025-07-16,1,22,A,6,34.8,
1,2025-07-16,1,10,A,7,34.6,
1,2025-07-16,1,22,B,8,34.8,
1,2025-07-16,1,16,B,9,34.1,
1,2025-07-16,1,NA,NA,10,NA,
1,2025-07-16,1,16,B,11,34.2,
1,2025-07-16,1,10,A,12,34.6,
1,2025-07-17,2,16,A,1,34.3,
1,2025-07-17,2,22,A,2,33.6,
1,2025-07-17,2,10,B,3,32.9,
1,2025-07-17,2,16,B,4,NA,
1,2025-07-17,2,22,A,5,34.6,
1,2025-07-17,2,16,B,6,33.9,
1,2025-07-17,2,10,A,7,33.2,
1,2025-07-17,2,10,B,8,32.8,
1,2025-07-17,2,NA,NA,9,NA,
1,2025-07-17,2,22,B,10,34.8,
1,2025-07-17,2,10,A,11,32.9,
1,2025-07-17,2,22,B,12,33.8,
1,2025-07-18,3,10,B,1,33.8,
1,2025-07-18,3,10,A,2,33.1,
1,2025-07-18,3,16,B,3,34.2,
1,2025-07-18,3,16,B,4,34.3,
1,2025-07-18,3,10,B,5,33.8,
1,2025-07-18,3,22,B,6,34.3,
1,2025-07-18,3,16,A,7,33.5,
1,2025-07-18,3,NA,NA,8,NA,
1,2025-07-18,3,22,A,9,34.6,
1,2025-07-18,3,16,A,10,34,
1,2025-07-18,3,10,A,11,33.2,
1,2025-07-18,3,22,A,12,33.5,
1,2025-07-22,6,16,B,1,34.2,
1,2025-07-22,6,22,B,2,33.9,
1,2025-07-22,6,10,B,3,32.6,
1,2025-07-22,6,16,A,4,33.3,
1,2025-07-22,6,NA,NA,5,NA,
1,2025-07-22,6,16,B,6,33.1,
1,2025-07-22,6,22,A,7,34.1,
1,2025-07-22,6,22,A,8,32.8,
1,2025-07-22,6,22,B,9,32.3,
1,2025-07-22,6,10,B,10,32.3,
1,2025-07-22,6,10,A,11,32.6,
1,2025-07-22,6,10,A,12,31.3,
2,2025-07-22,0,16,A,1,34.3,
2,2025-07-22,0,16,A,2,34.7,
2,2025-07-22,0,10,B,3,34,
2,2025-07-22,0,22,A,4,34,
2,2025-07-22,0,22,B,5,33.7,
2,2025-07-22,0,16,B,6,33,
2,2025-07-22,0,10,B,7,35,
2,2025-07-22,0,10,A,8,34.2,
2,2025-07-22,0,22,B,9,32.7,
2,2025-07-22,0,16,B,10,34.9,
2,2025-07-22,0,NA,NA,11,NA,
2,2025-07-22,0,10,A,12,33.3,
2,2025-07-23,1,22,B,1,NA,
2,2025-07-23,1,NA,NA,2,NA,
2,2025-07-23,1,22,A,3,34.9,
2,2025-07-23,1,10,B,4,34.2,
2,2025-07-23,1,16,A,5,33.9,
2,2025-07-23,1,16,A,6,33.8,
2,2025-07-23,1,22,A,7,33.9,
2,2025-07-23,1,16,B,8,34.2,
2,2025-07-23,1,16,B,9,34.8,
2,2025-07-23,1,22,B,10,35.1,
2,2025-07-23,1,10,A,11,34.4,
2,2025-07-23,1,10,B,12,34.8,
