exp_rep,date,day,acc_temp,rep,tube,ctmax,size
1,2025-07-07,0,16,Bulk,1,34.1,
1,2025-07-07,0,16,Bulk,2,32.9,
1,2025-07-07,0,16,Bulk,3,33.8,
1,2025-07-07,0,16,Bulk,4,33.6,
1,2025-07-07,0,16,Bulk,5,32.9,
1,2025-07-07,0,NA,NA,6,NA,
1,2025-07-07,0,16,Bulk,7,34.4,
1,2025-07-07,0,16,Bulk,8,33.9,
1,2025-07-07,0,16,Bulk,9,33.7,
1,2025-07-07,0,16,Bulk,10,34.3,
1,2025-07-08,1,20,B,1,34.2,
1,2025-07-08,1,10,A,2,34,
1,2025-07-08,1,20,B,3,35,
1,2025-07-08,1,10,A,4,34.6,
1,2025-07-08,1,20,A,5,33.9,
1,2025-07-08,1,25,A,6,34.3,
1,2025-07-08,1,25,A,7,34.2,
1,2025-07-08,1,NA,NA,8,NA,
1,2025-07-08,1,10,B,9,33.9,
1,2025-07-08,1,25,B,10,34.5,
1,2025-07-09,2,20,A,1,34.6,
1,2025-07-09,2,25,A,2,34,
1,2025-07-09,2,20,B,3,34.4,
1,2025-07-09,2,10,B,4,33.6,
1,2025-07-09,2,NA,NA,5,NA,
1,2025-07-09,2,10,A,6,33.6,
1,2025-07-09,2,25,B,7,34.5,
1,2025-07-09,2,20,A,8,34.1,
1,2025-07-09,2,10,B,9,33.3,
1,2025-07-09,2,25,B,10,33.9,
1,2025-07-10,3,NA,NA,1,NA,
1,2025-07-10,3,20,B,2,33.9,
1,2025-07-10,3,25,B,3,35,
1,2025-07-10,3,16,B,4,35,
1,2025-07-10,3,10,B,5,33.3,
1,2025-07-10,3,16,A,6,33.3,
1,2025-07-10,3,20,A,7,35.3,
1,2025-07-10,3,25,A,8,35.4,
1,2025-07-10,3,16,A,9,35.1,
1,2025-07-10,3,10,A,10,33.3,
1,2025-07-11,4,16,A,1,34.9,
1,2025-07-11,4,10,B,2,NA,
1,2025-07-11,4,16,B,3,35.1,
1,2025-07-11,4,20,B,4,35.8,
1,2025-07-11,4,16,B,5,34.2,
1,2025-07-11,4,16,A,6,34.9,
1,2025-07-11,4,25,A,7,35.3,
1,2025-07-11,4,20,A,8,NA,
1,2025-07-11,4,10,A,9,33.3,
1,2025-07-11,4,NA,NA,10,NA,
